word,mean,target,answer,romaji,type,wordReading,wordRomaji,parts,sentence,sentenceReading,sentenceMeaning,id
九人,chín người,九,きゅう,kyuu,on,きゅうにん,kyuunin,九~きゅう~kyuu~chín~target|人~にん~nin~người~support,ことば「九人」を よみます。,ことば「きゅうにん」を よみます。,Tôi đọc từ “chín người”.,v1:%E4%B9%9D:%E4%B9%9D%E4%BA%BA:on:%E3%81%8D%E3%82%85%E3%81%86
九つ,chín cái,九,ここの,kokono,kun,ここのつ,kokonotsu,九~ここの~kokono~chín~target|つ~つ~tsu~trợ từ đếm~kana,ことば「九つ」を よみます。,ことば「ここのつ」を よみます。,Tôi đọc từ “chín cái”.,v1:%E4%B9%9D:%E4%B9%9D%E3%81%A4:kun:%E3%81%93%E3%81%93%E3%81%AE
入学,nhập học,入,にゅう,nyuu,on,にゅうがく,nyuugaku,入~にゅう~nyuu~nhập / vào~target|学~がく~gaku~học~support,ことば「入学」を よみます。,ことば「にゅうがく」を よみます。,Tôi đọc từ “nhập học”.,v1:%E5%85%A5:%E5%85%A5%E5%AD%A6:on:%E3%81%AB%E3%82%85%E3%81%86
入る,đi vào,入,はい,hai,kun,はいる,hairu,入~はい~hai~vào~target|る~る~ru~~kana,ことば「入る」を よみます。,ことば「はいる」を よみます。,Tôi đọc từ “đi vào”.,v1:%E5%85%A5:%E5%85%A5%E3%82%8B:kun:%E3%81%AF%E3%81%84
入口,lối vào,入,いり,iri,kun,いりぐち,iriguchi,入~いり~iri~vào~target|口~ぐち~guchi~cửa / lối~support,ことば「入口」を よみます。,ことば「いりぐち」を よみます。,Tôi đọc từ “lối vào”.,v1:%E5%85%A5:%E5%85%A5%E5%8F%A3:kun:%E3%81%84%E3%82%8A
学生,học sinh / sinh viên,学,がく,gaku,on,がくせい,gakusei,学~がく~gaku~học~target|生~せい~sei~sinh / người học~support,ことば「学生」を よみます。,ことば「がくせい」を よみます。,Tôi đọc từ “học sinh / sinh viên”.,v1:%E5%AD%A6:%E5%AD%A6%E7%94%9F:on:%E3%81%8C%E3%81%8F
学校,trường học,学,がっ,ga,on,がっこう,gakkou,学~がっ~ga~học~target|校~こう~kou~trường~support,ことば「学校」を よみます。,ことば「がっこう」を よみます。,Tôi đọc từ “trường học”.,v1:%E5%AD%A6:%E5%AD%A6%E6%A0%A1:on:%E3%81%8C%E3%81%A3
学ぶ,học hỏi,学,まな,mana,kun,まなぶ,manabu,学~まな~mana~học~target|ぶ~ぶ~bu~~kana,ことば「学ぶ」を よみます。,ことば「まなぶ」を よみます。,Tôi đọc từ “học hỏi”.,v1:%E5%AD%A6:%E5%AD%A6%E3%81%B6:kun:%E3%81%BE%E3%81%AA
高校,trường trung học phổ thông,高,こう,kou,on,こうこう,koukou,高~こう~kou~cao~target|校~こう~kou~trường~support,ことば「高校」を よみます。,ことば「こうこう」を よみます。,Tôi đọc từ “trường trung học phổ thông”.,v1:%E9%AB%98:%E9%AB%98%E6%A0%A1:on:%E3%81%93%E3%81%86
高い,cao / đắt,高,たか,taka,kun,たかい,takai,高~たか~taka~cao / đắt~target|い~い~i~~kana,ことば「高い」を よみます。,ことば「たかい」を よみます。,Tôi đọc từ “cao / đắt”.,v1:%E9%AB%98:%E9%AB%98%E3%81%84:kun:%E3%81%9F%E3%81%8B
高さ,độ cao,高,たか,taka,kun,たかさ,takasa,高~たか~taka~cao~target|さ~さ~sa~hậu tố chỉ mức độ~kana,ことば「高さ」を よみます。,ことば「たかさ」を よみます。,Tôi đọc từ “độ cao”.,v1:%E9%AB%98:%E9%AB%98%E3%81%95:kun:%E3%81%9F%E3%81%8B
百円,một trăm yên,円,えん,en,on,ひゃくえん,hyakuen,百~ひゃく~hyaku~một trăm~support|円~えん~en~yên~target,ことば「百円」を よみます。,ことば「ひゃくえん」を よみます。,Tôi đọc từ “một trăm yên”.,v1:%E5%86%86:%E7%99%BE%E5%86%86:on:%E3%81%88%E3%82%93
一円,một yên,円,えん,en,on,いちえん,ichien,一~いち~ichi~một~support|円~えん~en~yên~target,ことば「一円」を よみます。,ことば「いちえん」を よみます。,Tôi đọc từ “một yên”.,v1:%E5%86%86:%E4%B8%80%E5%86%86:on:%E3%81%88%E3%82%93
円形,hình tròn,円,えん,en,on,えんけい,enkei,円~えん~en~tròn~target|形~けい~kei~hình dạng~support,ことば「円形」を よみます。,ことば「えんけい」を よみます。,Tôi đọc từ “hình tròn”.,v1:%E5%86%86:%E5%86%86%E5%BD%A2:on:%E3%81%88%E3%82%93
子供,trẻ em,子,こ,ko,kun,こども,kodomo,子~こ~ko~trẻ em~target|供~ども~domo~nhóm / cùng~support,ことば「子供」を よみます。,ことば「こども」を よみます。,Tôi đọc từ “trẻ em”.,v1:%E5%AD%90:%E5%AD%90%E4%BE%9B:kun:%E3%81%93
女子,nữ / nữ sinh,子,し,shi,on,じょし,joshi,女~じょ~jo~nữ~support|子~し~shi~người con~target,ことば「女子」を よみます。,ことば「じょし」を よみます。,Tôi đọc từ “nữ / nữ sinh”.,v1:%E5%AD%90:%E5%A5%B3%E5%AD%90:on:%E3%81%97
子犬,chó con,子,こ,ko,kun,こいぬ,koinu,子~こ~ko~con / nhỏ~target|犬~いぬ~inu~chó~support,ことば「子犬」を よみます。,ことば「こいぬ」を よみます。,Tôi đọc từ “chó con”.,v1:%E5%AD%90:%E5%AD%90%E7%8A%AC:kun:%E3%81%93
外国,nước ngoài,外,がい,gai,on,がいこく,gaikoku,外~がい~gai~ngoài~target|国~こく~koku~quốc gia~support,ことば「外国」を よみます。,ことば「がいこく」を よみます。,Tôi đọc từ “nước ngoài”.,v1:%E5%A4%96:%E5%A4%96%E5%9B%BD:on:%E3%81%8C%E3%81%84
外出,đi ra ngoài,外,がい,gai,on,がいしゅつ,gaishutsu,外~がい~gai~ngoài~target|出~しゅつ~shutsu~ra~support,ことば「外出」を よみます。,ことば「がいしゅつ」を よみます。,Tôi đọc từ “đi ra ngoài”.,v1:%E5%A4%96:%E5%A4%96%E5%87%BA:on:%E3%81%8C%E3%81%84
外,bên ngoài,外,そと,soto,kun,そと,soto,外~そと~soto~bên ngoài~target,ことば「外」を よみます。,ことば「そと」を よみます。,Tôi đọc từ “bên ngoài”.,v1:%E5%A4%96:%E5%A4%96:kun:%E3%81%9D%E3%81%A8
八月,tháng Tám,八,はち,hachi,on,はちがつ,hachigatsu,八~はち~hachi~tám~target|月~がつ~gatsu~tháng~support,ことば「八月」を よみます。,ことば「はちがつ」を よみます。,Tôi đọc từ “tháng Tám”.,v1:%E5%85%AB:%E5%85%AB%E6%9C%88:on:%E3%81%AF%E3%81%A1
八人,tám người,八,はち,hachi,on,はちにん,hachinin,八~はち~hachi~tám~target|人~にん~nin~người~support,ことば「八人」を よみます。,ことば「はちにん」を よみます。,Tôi đọc từ “tám người”.,v1:%E5%85%AB:%E5%85%AB%E4%BA%BA:on:%E3%81%AF%E3%81%A1
八つ,tám cái,八,やっ,ya,kun,やっつ,yattsu,八~やっ~ya~tám~target|つ~つ~tsu~trợ từ đếm~kana,ことば「八つ」を よみます。,ことば「やっつ」を よみます。,Tôi đọc từ “tám cái”.,v1:%E5%85%AB:%E5%85%AB%E3%81%A4:kun:%E3%82%84%E3%81%A3
六月,tháng Sáu,六,ろく,roku,on,ろくがつ,rokugatsu,六~ろく~roku~sáu~target|月~がつ~gatsu~tháng~support,ことば「六月」を よみます。,ことば「ろくがつ」を よみます。,Tôi đọc từ “tháng Sáu”.,v1:%E5%85%AD:%E5%85%AD%E6%9C%88:on:%E3%82%8D%E3%81%8F
六人,sáu người,六,ろく,roku,on,ろくにん,rokunin,六~ろく~roku~sáu~target|人~にん~nin~người~support,ことば「六人」を よみます。,ことば「ろくにん」を よみます。,Tôi đọc từ “sáu người”.,v1:%E5%85%AD:%E5%85%AD%E4%BA%BA:on:%E3%82%8D%E3%81%8F
六つ,sáu cái,六,むっ,mu,kun,むっつ,muttsu,六~むっ~mu~sáu~target|つ~つ~tsu~trợ từ đếm~kana,ことば「六つ」を よみます。,ことば「むっつ」を よみます。,Tôi đọc từ “sáu cái”.,v1:%E5%85%AD:%E5%85%AD%E3%81%A4:kun:%E3%82%80%E3%81%A3
地下,dưới lòng đất / tầng hầm,下,か,ka,on,ちか,chika,地~ち~chi~đất~support|下~か~ka~dưới~target,ことば「地下」を よみます。,ことば「ちか」を よみます。,Tôi đọc từ “dưới lòng đất / tầng hầm”.,v1:%E4%B8%8B:%E5%9C%B0%E4%B8%8B:on:%E3%81%8B
下手,không giỏi / vụng,下,へ,he,kun,へた,heta,下~へ~he~dưới / kém~target|手~た~ta~tay / kỹ năng~support,ことば「下手」を よみます。,ことば「へた」を よみます。,Tôi đọc từ “không giỏi / vụng”.,v1:%E4%B8%8B:%E4%B8%8B%E6%89%8B:kun:%E3%81%B8
下,phía dưới,下,した,shita,kun,した,shita,下~した~shita~phía dưới~target,ことば「下」を よみます。,ことば「した」を よみます。,Tôi đọc từ “phía dưới”.,v1:%E4%B8%8B:%E4%B8%8B:kun:%E3%81%97%E3%81%9F
来年,năm sau,来,らい,rai,on,らいねん,rainen,来~らい~rai~sắp tới~target|年~ねん~nen~năm~support,ことば「来年」を よみます。,ことば「らいねん」を よみます。,Tôi đọc từ “năm sau”.,v1:%E6%9D%A5:%E6%9D%A5%E5%B9%B4:on:%E3%82%89%E3%81%84
来月,tháng sau,来,らい,rai,on,らいげつ,raigetsu,来~らい~rai~sắp tới~target|月~げつ~getsu~tháng~support,ことば「来月」を よみます。,ことば「らいげつ」を よみます。,Tôi đọc từ “tháng sau”.,v1:%E6%9D%A5:%E6%9D%A5%E6%9C%88:on:%E3%82%89%E3%81%84
来る,đến,来,く,ku,kun,くる,kuru,来~く~ku~đến~target|る~る~ru~~kana,ことば「来る」を よみます。,ことば「くる」を よみます。,Tôi đọc từ “đến”.,v1:%E6%9D%A5:%E6%9D%A5%E3%82%8B:kun:%E3%81%8F
天気,thời tiết,気,き,ki,on,てんき,tenki,天~てん~ten~trời~support|気~き~ki~khí~target,ことば「天気」を よみます。,ことば「てんき」を よみます。,Tôi đọc từ “thời tiết”.,v1:%E6%B0%97:%E5%A4%A9%E6%B0%97:on:%E3%81%8D
元気,khỏe mạnh / tràn đầy sức sống,気,き,ki,on,げんき,genki,元~げん~gen~nguồn / gốc~support|気~き~ki~tinh thần~target,ことば「元気」を よみます。,ことば「げんき」を よみます。,Tôi đọc từ “khỏe mạnh / tràn đầy sức sống”.,v1:%E6%B0%97:%E5%85%83%E6%B0%97:on:%E3%81%8D
人気,được yêu thích / nổi tiếng,気,き,ki,on,にんき,ninki,人~にん~nin~người~support|気~き~ki~sự chú ý~target,ことば「人気」を よみます。,ことば「にんき」を よみます。,Tôi đọc từ “được yêu thích / nổi tiếng”.,v1:%E6%B0%97:%E4%BA%BA%E6%B0%97:on:%E3%81%8D
小学校,trường tiểu học,小,しょう,shou,on,しょうがっこう,shougakkou,小~しょう~shou~nhỏ / tiểu~target|学校~がっこう~gakkou~trường học~support,ことば「小学校」を よみます。,ことば「しょうがっこう」を よみます。,Tôi đọc từ “trường tiểu học”.,v1:%E5%B0%8F:%E5%B0%8F%E5%AD%A6%E6%A0%A1:on:%E3%81%97%E3%82%87%E3%81%86
小さい,nhỏ / bé,小,ちい,chii,kun,ちいさい,chiisai,小~ちい~chii~nhỏ~target|さい~さい~sai~~kana,ことば「小さい」を よみます。,ことば「ちいさい」を よみます。,Tôi đọc từ “nhỏ / bé”.,v1:%E5%B0%8F:%E5%B0%8F%E3%81%95%E3%81%84:kun:%E3%81%A1%E3%81%84
小川,con suối nhỏ,小,お,o,kun,おがわ,ogawa,小~お~o~nhỏ~target|川~がわ~gawa~sông / suối~support,ことば「小川」を よみます。,ことば「おがわ」を よみます。,Tôi đọc từ “con suối nhỏ”.,v1:%E5%B0%8F:%E5%B0%8F%E5%B7%9D:kun:%E3%81%8A
七月,tháng Bảy,七,しち,shichi,on,しちがつ,shichigatsu,七~しち~shichi~bảy~target|月~がつ~gatsu~tháng~support,ことば「七月」を よみます。,ことば「しちがつ」を よみます。,Tôi đọc từ “tháng Bảy”.,v1:%E4%B8%83:%E4%B8%83%E6%9C%88:on:%E3%81%97%E3%81%A1
七時,bảy giờ,七,しち,shichi,on,しちじ,shichiji,七~しち~shichi~bảy~target|時~じ~ji~giờ~support,ことば「七時」を よみます。,ことば「しちじ」を よみます。,Tôi đọc từ “bảy giờ”.,v1:%E4%B8%83:%E4%B8%83%E6%99%82:on:%E3%81%97%E3%81%A1
七つ,bảy cái,七,なな,nana,kun,ななつ,nanatsu,七~なな~nana~bảy~target|つ~つ~tsu~trợ từ đếm~kana,ことば「七つ」を よみます。,ことば「ななつ」を よみます。,Tôi đọc từ “bảy cái”.,v1:%E4%B8%83:%E4%B8%83%E3%81%A4:kun:%E3%81%AA%E3%81%AA
火山,núi lửa,山,ざん,zan,on,かざん,kazan,火~か~ka~lửa~support|山~ざん~zan~núi~target,ことば「火山」を よみます。,ことば「かざん」を よみます。,Tôi đọc từ “núi lửa”.,v1:%E5%B1%B1:%E7%81%AB%E5%B1%B1:on:%E3%81%96%E3%82%93
登山,leo núi,山,ざん,zan,on,とざん,tozan,登~と~to~leo~support|山~ざん~zan~núi~target,ことば「登山」を よみます。,ことば「とざん」を よみます。,Tôi đọc từ “leo núi”.,v1:%E5%B1%B1:%E7%99%BB%E5%B1%B1:on:%E3%81%96%E3%82%93
山,núi,山,やま,yama,kun,やま,yama,山~やま~yama~núi~target,ことば「山」を よみます。,ことば「やま」を よみます。,Tôi đọc từ “núi”.,v1:%E5%B1%B1:%E5%B1%B1:kun:%E3%82%84%E3%81%BE
会話,hội thoại,話,わ,wa,on,かいわ,kaiwa,会~かい~kai~gặp gỡ~support|話~わ~wa~lời nói~target,ことば「会話」を よみます。,ことば「かいわ」を よみます。,Tôi đọc từ “hội thoại”.,v1:%E8%A9%B1:%E4%BC%9A%E8%A9%B1:on:%E3%82%8F
電話,điện thoại,話,わ,wa,on,でんわ,denwa,電~でん~den~điện~support|話~わ~wa~nói chuyện~target,ことば「電話」を よみます。,ことば「でんわ」を よみます。,Tôi đọc từ “điện thoại”.,v1:%E8%A9%B1:%E9%9B%BB%E8%A9%B1:on:%E3%82%8F
話す,nói chuyện,話,はな,hana,kun,はなす,hanasu,話~はな~hana~nói~target|す~す~su~~kana,ことば「話す」を よみます。,ことば「はなす」を よみます。,Tôi đọc từ “nói chuyện”.,v1:%E8%A9%B1:%E8%A9%B1%E3%81%99:kun:%E3%81%AF%E3%81%AA
女子,nữ / nữ sinh,女,じょ,jo,on,じょし,joshi,女~じょ~jo~nữ~target|子~し~shi~người con~support,ことば「女子」を よみます。,ことば「じょし」を よみます。,Tôi đọc từ “nữ / nữ sinh”.,v1:%E5%A5%B3:%E5%A5%B3%E5%AD%90:on:%E3%81%98%E3%82%87
女性,phụ nữ / giới nữ,女,じょ,jo,on,じょせい,josei,女~じょ~jo~nữ~target|性~せい~sei~giới tính~support,ことば「女性」を よみます。,ことば「じょせい」を よみます。,Tôi đọc từ “phụ nữ / giới nữ”.,v1:%E5%A5%B3:%E5%A5%B3%E6%80%A7:on:%E3%81%98%E3%82%87
女,người phụ nữ,女,おんな,onna,kun,おんな,onna,女~おんな~onna~người phụ nữ~target,ことば「女」を よみます。,ことば「おんな」を よみます。,Tôi đọc từ “người phụ nữ”.,v1:%E5%A5%B3:%E5%A5%B3:kun:%E3%81%8A%E3%82%93%E3%81%AA
東北,vùng Đông Bắc,北,ほく,hoku,on,とうほく,touhoku,東~とう~tou~đông~support|北~ほく~hoku~bắc~target,ことば「東北」を よみます。,ことば「とうほく」を よみます。,Tôi đọc từ “vùng Đông Bắc”.,v1:%E5%8C%97:%E6%9D%B1%E5%8C%97:on:%E3%81%BB%E3%81%8F
北口,cửa phía Bắc,北,きた,kita,kun,きたぐち,kitaguchi,北~きた~kita~phía Bắc~target|口~ぐち~guchi~cửa / lối~support,ことば「北口」を よみます。,ことば「きたぐち」を よみます。,Tôi đọc từ “cửa phía Bắc”.,v1:%E5%8C%97:%E5%8C%97%E5%8F%A3:kun:%E3%81%8D%E3%81%9F
北,phía Bắc,北,きた,kita,kun,きた,kita,北~きた~kita~phía Bắc~target,ことば「北」を よみます。,ことば「きた」を よみます。,Tôi đọc từ “phía Bắc”.,v1:%E5%8C%97:%E5%8C%97:kun:%E3%81%8D%E3%81%9F
午前,buổi sáng / trước trưa,午,ご,go,on,ごぜん,gozen,午~ご~go~trưa~target|前~ぜん~zen~trước~support,ことば「午前」を よみます。,ことば「ごぜん」を よみます。,Tôi đọc từ “buổi sáng / trước trưa”.,v1:%E5%8D%88:%E5%8D%88%E5%89%8D:on:%E3%81%94
午後,buổi chiều / sau trưa,午,ご,go,on,ごご,gogo,午~ご~go~trưa~target|後~ご~go~sau~support,ことば「午後」を よみます。,ことば「ごご」を よみます。,Tôi đọc từ “buổi chiều / sau trưa”.,v1:%E5%8D%88:%E5%8D%88%E5%BE%8C:on:%E3%81%94
正午,đúng giữa trưa,午,ご,go,on,しょうご,shougo,正~しょう~shou~đúng / chính~support|午~ご~go~trưa~target,ことば「正午」を よみます。,ことば「しょうご」を よみます。,Tôi đọc từ “đúng giữa trưa”.,v1:%E5%8D%88:%E6%AD%A3%E5%8D%88:on:%E3%81%94
百円,một trăm yên,百,ひゃく,hyaku,on,ひゃくえん,hyakuen,百~ひゃく~hyaku~một trăm~target|円~えん~en~yên~support,ことば「百円」を よみます。,ことば「ひゃくえん」を よみます。,Tôi đọc từ “một trăm yên”.,v1:%E7%99%BE:%E7%99%BE%E5%86%86:on:%E3%81%B2%E3%82%83%E3%81%8F
三百,ba trăm,百,びゃく,byaku,on,さんびゃく,sanbyaku,三~さん~san~ba~support|百~びゃく~byaku~trăm~target,ことば「三百」を よみます。,ことば「さんびゃく」を よみます。,Tôi đọc từ “ba trăm”.,v1:%E7%99%BE:%E4%B8%89%E7%99%BE:on:%E3%81%B3%E3%82%83%E3%81%8F
六百,sáu trăm,百,ぴゃく,pyaku,on,ろっぴゃく,roppyaku,六~ろっ~ro~sáu~support|百~ぴゃく~pyaku~trăm~target,ことば「六百」を よみます。,ことば「ろっぴゃく」を よみます。,Tôi đọc từ “sáu trăm”.,v1:%E7%99%BE:%E5%85%AD%E7%99%BE:on:%E3%81%B4%E3%82%83%E3%81%8F
辞書,từ điển,書,しょ,sho,on,じしょ,jisho,辞~じ~ji~từ ngữ~support|書~しょ~sho~sách~target,ことば「辞書」を よみます。,ことば「じしょ」を よみます。,Tôi đọc từ “từ điển”.,v1:%E6%9B%B8:%E8%BE%9E%E6%9B%B8:on:%E3%81%97%E3%82%87
図書館,thư viện,書,しょ,sho,on,としょかん,toshokan,図~と~to~bản đồ / hình~support|書~しょ~sho~sách~target|館~かん~kan~tòa nhà~support,ことば「図書館」を よみます。,ことば「としょかん」を よみます。,Tôi đọc từ “thư viện”.,v1:%E6%9B%B8:%E5%9B%B3%E6%9B%B8%E9%A4%A8:on:%E3%81%97%E3%82%87
書く,viết,書,か,ka,kun,かく,kaku,書~か~ka~viết~target|く~く~ku~~kana,ことば「書く」を よみます。,ことば「かく」を よみます。,Tôi đọc từ “viết”.,v1:%E6%9B%B8:%E6%9B%B8%E3%81%8F:kun:%E3%81%8B
先生,giáo viên,先,せん,sen,on,せんせい,sensei,先~せん~sen~trước~target|生~せい~sei~sinh / người~support,ことば「先生」を よみます。,ことば「せんせい」を よみます。,Tôi đọc từ “giáo viên”.,v1:%E5%85%88:%E5%85%88%E7%94%9F:on:%E3%81%9B%E3%82%93
先月,tháng trước,先,せん,sen,on,せんげつ,sengetsu,先~せん~sen~trước~target|月~げつ~getsu~tháng~support,ことば「先月」を よみます。,ことば「せんげつ」を よみます。,Tôi đọc từ “tháng trước”.,v1:%E5%85%88:%E5%85%88%E6%9C%88:on:%E3%81%9B%E3%82%93
先,phía trước / nơi đến trước,先,さき,saki,kun,さき,saki,先~さき~saki~phía trước~target,ことば「先」を よみます。,ことば「さき」を よみます。,Tôi đọc từ “phía trước / nơi đến trước”.,v1:%E5%85%88:%E5%85%88:kun:%E3%81%95%E3%81%8D
名前,tên,名,な,na,kun,なまえ,namae,名~な~na~tên~target|前~まえ~mae~phần sau của từ tên~support,ことば「名前」を よみます。,ことば「なまえ」を よみます。,Tôi đọc từ “tên”.,v1:%E5%90%8D:%E5%90%8D%E5%89%8D:kun:%E3%81%AA
有名,nổi tiếng,名,めい,mei,on,ゆうめい,yuumei,有~ゆう~yuu~có~support|名~めい~mei~danh tiếng~target,ことば「有名」を よみます。,ことば「ゆうめい」を よみます。,Tôi đọc từ “nổi tiếng”.,v1:%E5%90%8D:%E6%9C%89%E5%90%8D:on:%E3%82%81%E3%81%84
名字,họ,名,みょう,myou,on,みょうじ,myouji,名~みょう~myou~tên~target|字~じ~ji~chữ~support,ことば「名字」を よみます。,ことば「みょうじ」を よみます。,Tôi đọc từ “họ”.,v1:%E5%90%8D:%E5%90%8D%E5%AD%97:on:%E3%81%BF%E3%82%87%E3%81%86
小川,con suối nhỏ,川,がわ,gawa,kun,おがわ,ogawa,小~お~o~nhỏ~support|川~がわ~gawa~sông / suối~target,ことば「小川」を よみます。,ことば「おがわ」を よみます。,Tôi đọc từ “con suối nhỏ”.,v1:%E5%B7%9D:%E5%B0%8F%E5%B7%9D:kun:%E3%81%8C%E3%82%8F
川上,thượng nguồn,川,かわ,kawa,kun,かわかみ,kawakami,川~かわ~kawa~sông~target|上~かみ~kami~phía trên~support,ことば「川上」を よみます。,ことば「かわかみ」を よみます。,Tôi đọc từ “thượng nguồn”.,v1:%E5%B7%9D:%E5%B7%9D%E4%B8%8A:kun:%E3%81%8B%E3%82%8F
川,sông,川,かわ,kawa,kun,かわ,kawa,川~かわ~kawa~sông~target,ことば「川」を よみます。,ことば「かわ」を よみます。,Tôi đọc từ “sông”.,v1:%E5%B7%9D:%E5%B7%9D:kun:%E3%81%8B%E3%82%8F
千円,một nghìn yên,千,せん,sen,on,せんえん,senen,千~せん~sen~một nghìn~target|円~えん~en~yên~support,ことば「千円」を よみます。,ことば「せんえん」を よみます。,Tôi đọc từ “một nghìn yên”.,v1:%E5%8D%83:%E5%8D%83%E5%86%86:on:%E3%81%9B%E3%82%93
三千,ba nghìn,千,ぜん,zen,on,さんぜん,sanzen,三~さん~san~ba~support|千~ぜん~zen~nghìn~target,ことば「三千」を よみます。,ことば「さんぜん」を よみます。,Tôi đọc từ “ba nghìn”.,v1:%E5%8D%83:%E4%B8%89%E5%8D%83:on:%E3%81%9C%E3%82%93
千葉,Chiba,千,ち,chi,kun,ちば,chiba,千~ち~chi~nghìn~target|葉~ば~ba~lá~support,ことば「千葉」を よみます。,ことば「ちば」を よみます。,Tôi đọc từ “Chiba”.,v1:%E5%8D%83:%E5%8D%83%E8%91%89:kun:%E3%81%A1
水曜日,thứ Tư,水,すい,sui,on,すいようび,suiyoubi,水~すい~sui~nước / thứ Tư~target|曜日~ようび~youbi~ngày trong tuần~support,ことば「水曜日」を よみます。,ことば「すいようび」を よみます。,Tôi đọc từ “thứ Tư”.,v1:%E6%B0%B4:%E6%B0%B4%E6%9B%9C%E6%97%A5:on:%E3%81%99%E3%81%84
水道,nước máy / đường ống nước,水,すい,sui,on,すいどう,suidou,水~すい~sui~nước~target|道~どう~dou~đường / hệ thống~support,ことば「水道」を よみます。,ことば「すいどう」を よみます。,Tôi đọc từ “nước máy / đường ống nước”.,v1:%E6%B0%B4:%E6%B0%B4%E9%81%93:on:%E3%81%99%E3%81%84
水,nước,水,みず,mizu,kun,みず,mizu,水~みず~mizu~nước~target,まいにち 水を のみます。,まいにち みずを のみます。,Hằng ngày tôi uống nước.,v1:%E6%B0%B4:%E6%B0%B4:kun:%E3%81%BF%E3%81%9A
半分,một nửa,半,はん,han,on,はんぶん,hanbun,半~はん~han~một nửa~target|分~ぶん~bun~phần~support,ことば「半分」を よみます。,ことば「はんぶん」を よみます。,Tôi đọc từ “một nửa”.,v1:%E5%8D%8A:%E5%8D%8A%E5%88%86:on:%E3%81%AF%E3%82%93
半年,nửa năm,半,はん,han,on,はんとし,hantoshi,半~はん~han~một nửa~target|年~とし~toshi~năm~support,ことば「半年」を よみます。,ことば「はんとし」を よみます。,Tôi đọc từ “nửa năm”.,v1:%E5%8D%8A:%E5%8D%8A%E5%B9%B4:on:%E3%81%AF%E3%82%93
半ば,giữa chừng / một nửa,半,なか,naka,kun,なかば,nakaba,半~なか~naka~nửa / giữa~target|ば~ば~ba~~kana,ことば「半ば」を よみます。,ことば「なかば」を よみます。,Tôi đọc từ “giữa chừng / một nửa”.,v1:%E5%8D%8A:%E5%8D%8A%E3%81%B0:kun:%E3%81%AA%E3%81%8B
男性,nam giới,男,だん,dan,on,だんせい,dansei,男~だん~dan~nam~target|性~せい~sei~giới tính~support,ことば「男性」を よみます。,ことば「だんせい」を よみます。,Tôi đọc từ “nam giới”.,v1:%E7%94%B7:%E7%94%B7%E6%80%A7:on:%E3%81%A0%E3%82%93
長男,con trai trưởng,男,なん,nan,on,ちょうなん,chounan,長~ちょう~chou~trưởng~support|男~なん~nan~con trai~target,ことば「長男」を よみます。,ことば「ちょうなん」を よみます。,Tôi đọc từ “con trai trưởng”.,v1:%E7%94%B7:%E9%95%B7%E7%94%B7:on:%E3%81%AA%E3%82%93
男,người đàn ông,男,おとこ,otoko,kun,おとこ,otoko,男~おとこ~otoko~người đàn ông~target,ことば「男」を よみます。,ことば「おとこ」を よみます。,Tôi đọc từ “người đàn ông”.,v1:%E7%94%B7:%E7%94%B7:kun:%E3%81%8A%E3%81%A8%E3%81%93
西洋,phương Tây,西,せい,sei,on,せいよう,seiyou,西~せい~sei~Tây~target|洋~よう~you~đại dương / phương Tây~support,ことば「西洋」を よみます。,ことば「せいよう」を よみます。,Tôi đọc từ “phương Tây”.,v1:%E8%A5%BF:%E8%A5%BF%E6%B4%8B:on:%E3%81%9B%E3%81%84
関西,vùng Kansai,西,さい,sai,on,かんさい,kansai,関~かん~kan~cửa ải / vùng~support|西~さい~sai~Tây~target,ことば「関西」を よみます。,ことば「かんさい」を よみます。,Tôi đọc từ “vùng Kansai”.,v1:%E8%A5%BF:%E9%96%A2%E8%A5%BF:on:%E3%81%95%E3%81%84
西,phía Tây,西,にし,nishi,kun,にし,nishi,西~にし~nishi~phía Tây~target,ことば「西」を よみます。,ことば「にし」を よみます。,Tôi đọc từ “phía Tây”.,v1:%E8%A5%BF:%E8%A5%BF:kun:%E3%81%AB%E3%81%97
電話,điện thoại,電,でん,den,on,でんわ,denwa,電~でん~den~điện~target|話~わ~wa~nói chuyện~support,ことば「電話」を よみます。,ことば「でんわ」を よみます。,Tôi đọc từ “điện thoại”.,v1:%E9%9B%BB:%E9%9B%BB%E8%A9%B1:on:%E3%81%A7%E3%82%93
電車,tàu điện,電,でん,den,on,でんしゃ,densha,電~でん~den~điện~target|車~しゃ~sha~xe~support,ことば「電車」を よみます。,ことば「でんしゃ」を よみます。,Tôi đọc từ “tàu điện”.,v1:%E9%9B%BB:%E9%9B%BB%E8%BB%8A:on:%E3%81%A7%E3%82%93
電気,điện / điện năng,電,でん,den,on,でんき,denki,電~でん~den~điện~target|気~き~ki~khí / năng lượng~support,ことば「電気」を よみます。,ことば「でんき」を よみます。,Tôi đọc từ “điện / điện năng”.,v1:%E9%9B%BB:%E9%9B%BB%E6%B0%97:on:%E3%81%A7%E3%82%93
日本語,tiếng Nhật,語,ご,go,on,にほんご,nihongo,日本~にほん~nihon~Nhật Bản~support|語~ご~go~ngôn ngữ~target,ことば「日本語」を よみます。,ことば「にほんご」を よみます。,Tôi đọc từ “tiếng Nhật”.,v1:%E8%AA%9E:%E6%97%A5%E6%9C%AC%E8%AA%9E:on:%E3%81%94
